id,dt,niter,Re,gama,Minf,Pr,order,grid,time,Enstrophy,Kinetic Energy,Kinetic Energy Dissipation Rate
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,3.25,1.9112747454358678,0.12058064419013209,0.002389093431794835
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,3.5,2.1503836667818494,0.11994086535938694,0.0026879795834773117
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,3.75,2.428842793210752,0.11921068940546267,0.00303605349151344
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,4.0,2.757111730078561,0.11836937116882229,0.003446389662598201
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,4.25,3.1513352056756436,0.11739269693124837,0.003939169007094554
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,4.5,3.616262312103039,0.11624850223505513,0.004520327890128798
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,4.75,4.1119792017251555,0.1149006814675197,0.005139974002156445
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,5.0,4.577803150095342,0.11333362232990715,0.005722253937619177
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,5.25,4.9513508020269015,0.11158482424970337,0.006189188502533627
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,5.5,5.228551862407396,0.10971555497800364,0.006535689828009244
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,5.75,5.498426267994152,0.10775410454369827,0.00687303283499269
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,6.0,5.809989650986867,0.10569309634840234,0.007262487063733583
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,6.25,6.091155750598688,0.10350543877932114,0.0076139446882483594
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,6.5,6.245759990735988,0.10118753339351352,0.007807199988419985
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,6.75,6.339808773879422,0.09878417516539242,0.007924760967349278
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,7.0,6.423059721081801,0.09633324518586561,0.00802882465135225
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,7.25,6.490852400162384,0.09383286270107875,0.008113565500202981
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,7.5,6.5491033612225635,0.09127116135263649,0.008186379201528204
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,7.75,6.681366397631356,0.08865794569040988,0.008351707997039194
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,8.0,6.9275327585221955,0.08597045600810757,0.008659415948152744
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,8.25,7.118946086125181,0.08315930249309454,0.008898682607656477
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,8.5,7.190428112892437,0.08023260212717567,0.008988035141115546
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,8.75,7.240137661948055,0.07725512718773608,0.00905017207743507
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,9.0,7.178576728722863,0.07426446040528473,0.008973220910903579
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,9.25,7.001374898126783,0.07129270493592502,0.008751718622658479
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,9.5,6.745371872070004,0.06840848551867476,0.008431714840087505
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,9.75,6.507778916807258,0.06566633287655921,0.008134723646009073
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,10.0,6.293273296878802,0.06306303306504757,0.007866591621098502
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,10.25,6.090648016889466,0.06055436485512841,0.007613310021111832
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,10.5,5.882613626465165,0.058119680597295074,0.007353267033081456
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,10.75,5.617842729103799,0.05576749286135881,0.0070223034113797485
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,11.0,5.326494901810707,0.05351549623704471,0.006658118627263384
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,11.25,5.044592947763322,0.05137562029308846,0.006305741184704152
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,11.5,4.7778007242562355,0.049353936069077765,0.0059722509053202946
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,11.75,4.54593849427727,0.047446710828956615,0.005682423117846588
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,12.0,4.340757503519093,0.045646410041578385,0.005425946879398866
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,12.25,4.136786553305019,0.04394524582219753,0.005170983191631274
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,12.5,3.9242167912250334,0.04233634812222979,0.0049052709890312915
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,12.75,3.7180547656892973,0.040814653098253315,0.0046475684571116215
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,13.0,3.52539701455845,0.03937582939133208,0.004406746268198062
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,13.25,3.3471190247326605,0.03801698513969999,0.004183898780915826
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,13.5,3.175544620856503,0.036734981661621535,0.003969430776070629
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,13.75,3.0066409672207284,0.035525898631834404,0.0037583012090259106
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,14.0,2.8421387932600375,0.03438684108248653,0.003552673491575047
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,14.25,2.6844485552462998,0.03331597189719218,0.0033555606940578746
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,14.5,2.5381637969832522,0.032310202046392775,0.0031727047462290652
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,14.75,2.405282501254626,0.03136487437903762,0.0030066031265682824
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,15.0,2.286523550552105,0.03047489066721082,0.0028581544381901312
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,15.25,2.1817581103801693,0.02963474772242013,0.0027271976379752115
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,15.5,2.088806887078969,0.028838812758171205,0.002611008608848711
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,15.75,2.003552861557871,0.02808249794987181,0.0025044410769473387
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,16.0,1.9225844509273597,0.027361954153113658,0.0024032305636591997
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,16.25,1.843960462251881,0.02667418774974927,0.002304950577814851
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,16.5,1.7682883712943172,0.02601701225591056,0.0022103604641178966
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,16.75,1.6977754207132754,0.025388547147510446,0.002122219275891594
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,17.0,1.6342349694346376,0.02478707014691467,0.0020427937117932973
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,17.25,1.5778681279252473,0.02421024638357596,0.0019723351599065593
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,17.5,1.5278638067758359,0.02365576353961276,0.0019098297584697948
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,17.75,1.4830256448573083,0.023121496090175525,0.0018537820560716354
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,18.0,1.4421516344383822,0.02260533980955986,0.0018026895430479778
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,18.25,1.4041256754687639,0.02210587955471019,0.0017551570943359549
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,18.5,1.3679967425166626,0.021621844090638026,0.0017099959281458282
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,18.75,1.333019794373058,0.021152115556556668,0.0016662747429663225
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,19.0,1.2985750567837417,0.020696091746118733,0.001623218820979677
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,19.25,1.2642453808155656,0.02025324322560298,0.001580306726019457
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,19.5,1.2298071102424308,0.019823202009927512,0.0015372588878030384
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,19.75,1.1952354325578216,0.019405741867362117,0.001494044290697277
12,0.005,4000,800.0,1.4,0.1,0.71,4,33,20.0,1.1606490031077468,0.019000659753119348,0.0014508112538846834
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,0.25,0.7534735985884411,0.12476590687365847,0.0009418419982355514
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,0.5,0.7668857385147239,0.12452977604765333,0.0009586071731434048
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,0.75,0.7908393295065183,0.12428769820629068,0.0009885491618831478
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,1.0,0.8263659331060556,0.12403688261268672,0.0010329574163825694
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,1.25,0.8748205791650022,0.12377354181556013,0.0010935257239562527
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,1.5,0.9377905663435367,0.12349175493513528,0.001172238207929421
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,1.75,1.0169943163923618,0.12318890227369451,0.0012712428954904523
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,2.0,1.1140417101640585,0.1228594557939461,0.001392552137705073
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,2.25,1.2302444390383949,0.12249708344408002,0.0015378055487979935
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,2.5,1.3665499285045635,0.12209601165646611,0.0017081874106307043
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,2.75,1.523948912890341,0.12164825531412277,0.0019049361411129261
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,3.0,1.7043241654204753,0.12114626367140457,0.002130405206775594
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,3.25,1.9112747454358678,0.12058064419013209,0.002389093431794835
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,3.5,2.1503836667818494,0.11994086535938694,0.0026879795834773117
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,3.75,2.428842793210752,0.11921068940546267,0.00303605349151344
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,4.0,2.757111730078561,0.11836937116882229,0.003446389662598201
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,4.25,3.1513352056756436,0.11739269693124837,0.003939169007094554
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,4.5,3.616262312103039,0.11624850223505513,0.004520327890128798
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,4.75,4.1119792017251555,0.1149006814675197,0.005139974002156445
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,5.0,4.577803150095342,0.11333362232990715,0.005722253937619177
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,5.25,4.9513508020269015,0.11158482424970337,0.006189188502533627
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,5.5,5.228551862407396,0.10971555497800364,0.006535689828009244
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,5.75,5.498426267994152,0.10775410454369827,0.00687303283499269
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,6.0,5.809989650986867,0.10569309634840234,0.007262487063733583
13,0.005,4000,800.0,1.4,0.1,0.71,4,33,6.25,6.091155750598688,0.10350543877932114,0.0076139446882483594
